ProfileID,GameID,RoundID,Token,Invest,Market2,Total,Fee,Fine,Paid,Total2,Seq1,Seq2,Seq3,Seq4,Received,Session,Treat,Homo,FF,Public,Gender,Age,GPA,Hour,MaxED,,,,,,,,
1270,2,11,40,25,75.63,90.63,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.2,0,2,,,,,,,,
1380,2,11,40,39,117.98,118.98,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,19,3.4,6,1,,,,,,,,
1300,2,11,60,20,60.5,100.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.23,18,1,,,,,,,,
1330,2,11,60,35,105.88,130.88,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.47,20,0,,,,,,,,
1270,2,12,40,30,86.25,96.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.2,0,2,,,,,,,,
1380,2,12,40,40,115,115,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,19,3.4,6,1,,,,,,,,
1300,2,12,60,25,71.88,106.88,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.23,18,1,,,,,,,,
1330,2,12,60,30,86.25,116.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.47,20,0,,,,,,,,
1270,2,13,40,35,96.25,101.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.2,0,2,,,,,,,,
1380,2,13,40,40,110,110,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,19,3.4,6,1,,,,,,,,
1300,2,13,60,20,55,95,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.23,18,1,,,,,,,,
1330,2,13,60,35,96.25,121.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.47,20,0,,,,,,,,
1270,2,14,40,15,45,70,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.2,0,2,,,,,,,,
1380,2,14,40,40,120,120,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,19,3.4,6,1,,,,,,,,
1300,2,14,60,20,60,100,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.23,18,1,,,,,,,,
1330,2,14,60,45,135,150,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.47,20,0,,,,,,,,
1270,2,15,40,20,62.5,82.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.2,0,2,,,,,,,,
1380,2,15,40,30,93.75,103.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,19,3.4,6,1,,,,,,,,
1300,2,15,60,20,62.5,102.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.23,18,1,,,,,,,,
1330,2,15,60,45,140.63,155.63,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.47,20,0,,,,,,,,
1270,2,16,40,20,57.5,77.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.2,0,2,,,,,,,,
1380,2,16,40,40,115,115,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,19,3.4,6,1,,,,,,,,
1300,2,16,60,20,57.5,97.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,21,3.23,18,1,,,,,,,,
1330,2,16,60,45,129.38,144.38,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,3.47,20,0,,,,,,,,
1200,3,1,40,29,94.98,105.98,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.7,18,4,,,,,,,,
1220,3,1,40,29,94.98,105.98,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,2.9,0,0,,,,,,,,
1340,3,1,60,21,68.78,107.78,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.3,16,3,,,,,,,,
1360,3,1,60,30,98.25,128.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,23,3.3,0,10,,,,,,,,
1200,3,2,40,25,90.63,105.63,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.7,18,4,,,,,,,,
1220,3,2,40,30,108.75,118.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,2.9,0,0,,,,,,,,
1340,3,2,60,25,90.63,125.63,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.3,16,3,,,,,,,,
1360,3,2,60,15,54.38,99.38,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,23,3.3,0,10,,,,,,,,
1200,3,3,40,30,86.25,96.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.7,18,4,,,,,,,,
1220,3,3,40,30,86.25,96.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,2.9,0,0,,,,,,,,
1340,3,3,60,30,86.25,116.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.3,16,3,,,,,,,,
1360,3,3,60,35,100.63,125.63,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,23,3.3,0,10,,,,,,,,
1200,3,4,40,20,63.5,83.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.7,18,4,,,,,,,,
1220,3,4,40,28,88.9,100.9,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,2.9,0,0,,,,,,,,
1340,3,4,60,25,79.38,114.38,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.3,16,3,,,,,,,,
1360,3,4,60,40,127,147,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,23,3.3,0,10,,,,,,,,
1200,3,5,40,25,70,85,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.7,18,4,,,,,,,,
1220,3,5,40,23,64.4,81.4,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,2.9,0,0,,,,,,,,
1340,3,5,60,35,98,123,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.3,16,3,,,,,,,,
1360,3,5,60,45,126,141,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,23,3.3,0,10,,,,,,,,
1200,3,6,40,20,47.5,67.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.7,18,4,,,,,,,,
1220,3,6,40,35,83.13,88.13,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,2.9,0,0,,,,,,,,
1340,3,6,60,40,95,115,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.3,16,3,,,,,,,,
1360,3,6,60,50,118.75,128.75,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,23,3.3,0,10,,,,,,,,
1200,3,7,40,30,95.25,105.25,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.7,18,4,,,,,,,,
1220,3,7,40,28,88.9,100.9,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,2.9,0,0,,,,,,,,
1340,3,7,60,20,63.5,103.5,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.3,16,3,,,,,,,,
1360,3,7,60,35,111.13,136.13,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,23,3.3,0,10,,,,,,,,
1200,3,8,40,25,70.63,85.63,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,21,2.7,18,4,,,,,,,,
1220,3,8,40,26,73.45,87.45,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Male,22,2.9,0,0,,,,,,,,
1340,3,8,60,36,101.7,125.7,.,.,.,.,.,.,.,.,.,1,1,0,0,0,Female,20,3.3,16,3,,,,,,,,
